"id";"source";"date";"url";"typologie";"ministre";"titre";"abstract";"content";"language";"summary";"themes";"applicability";"keywords";"processing_status";"created_at";"updated_at";"processed"
"2025/2359";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502359&locale=fr";"Actes non législatifs";"";"Règlement délégué (UE) 2025/2359 de la Commission du 8 juillet 2025 complétant la directive (UE) 2024/1788 du Parlement européen et du Conseil en précisant une méthode d’évaluation des réductions des émissions de gaz à effet de serre réalisées grâce aux carburants bas carbone";"";"content_files\eurlex\eurlex_l\2025_2359.txt";"fr";"""Règlement européen définissant la méthode de calcul des réductions d'émissions de gaz à effet de serre pour les carburants bas carbone.""";"Risque chimique, Santé publique, Normes";"obligation/Règlement";"";"processed";"";"2025-11-21 16:49:59";"2025-11-21 16:49:59"
"2025/2289";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502289&locale=fr";"Actes non législatifs";"";"Règlement d’exécution (UE) 2025/2289 de la Commission du 13 novembre 2025 portant modalités d’application du règlement (UE) 2023/1542 du Parlement européen et du Conseil en ce qui concerne le format de communication des données ainsi que les méthodes d’évaluation et les conditions opérationnelles concernant la collecte et le traitement des déchets de batteries";"";"content_files\eurlex\eurlex_l\2025_2289.txt";"fr";"""Règlement européen établissant les formats et exigences de communication des données sur les batteries et leurs déchets pour surveiller la collecte, le recyclage et la valorisation des matières.""";"Reporting, Risques chimiques, Recyclage";"obligation/Règlement";"";"processed";"";"2025-11-22 21:12:44";"2025-11-22 21:12:44"
"2025/2335";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502335&locale=fr";"Actes non législatifs";"";"Règlement d’exécution (UE) 2025/2335 de la Commission du 20 novembre 2025 établissant les émissions de CO2 de référence pour la période de communication des rapports de l’année 2019";"";"content_files\eurlex\eurlex_l\2025_2335.txt";"fr";"""Règlement européen établissant les émissions de CO2 de référence pour les véhicules utilitaires lourds neufs basées sur les données de 2019.""";"Risques routiers, Poids lourds, Reporting";"obligation/Règlement";"";"processed";"";"2025-11-22 21:12:48";"2025-11-22 21:12:48"
"2025/2338";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502338&locale=fr";"Actes non législatifs";"";"Règlement d’exécution (UE) 2025/2338 de la Commission du 20 novembre 2025 modifiant le règlement d’exécution (UE) 2016/100 définissant des normes techniques d’exécution précisant la procédure de décision commune à suivre pour les demandes relatives à certaines autorisations prudentielles introduites conformément au règlement (UE) no 575/2013 du Parlement européen et du Conseil";"";"content_files\eurlex\eurlex_l\2025_2338.txt";"fr";"""Règlement modifiant les procédures d'autorisation prudentielle et les exigences de fonds propres pour risque opérationnel et de marché dans l'UE.""";"Normes, Rôles & Responsabilités, Reporting";"obligation/Règlement";"";"processed";"";"2025-11-22 21:12:53";"2025-11-22 21:12:53"
"2025/2358";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502358&locale=fr";"Actes non législatifs";"";"Règlement d’exécution (UE) 2025/2358 de la Commission du 20 novembre 2025 établissant des règles relatives aux systèmes de certification, aux organismes de certification et aux audits au titre du règlement (UE) 2024/3012 du Parlement européen et du Conseil";"";"content_files\eurlex\eurlex_l\2025_2358.txt";"fr";"""Règlement européen établissant les modalités de certification harmonisée des absorptions de carbone et des réductions d'émissions dans l'Union.""";"Normes, Reporting, Contrôles";"obligation/Règlement";"";"processed";"";"2025-11-25 15:39:25";"2025-11-25 15:39:25"
"2025/1802";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202501802&locale=fr";"Actes non législatifs";"";"Directive déléguée (UE) 2025/1802 de la Commission du 8 septembre 2025 modifiant la directive 2011/65/UE du Parlement européen et du Conseil en ce qui concerne une exemption relative au plomb dans les soudures à haute température de fusion";"";"content_files\eurlex\eurlex_l\2025_1802.txt";"fr";"""Directive européenne modifiant les exemptions sur l'utilisation du plomb dans les soudures des équipements électriques et électroniques, avec segmentation en sous-catégories et renouvellement limité jusqu'en 2027.""";"REACH, Risques électriques, Normes";"obligation/Loi";"";"processed";"";"2025-11-25 15:39:31";"2025-11-25 15:39:31"
"2025/2363";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502363&locale=fr";"Actes non législatifs";"";"Directive déléguée (UE) 2025/2363 de la Commission du 8 septembre 2025 modifiant la directive 2011/65/UE du Parlement européen et du Conseil en ce qui concerne une exemption relative au plomb présent dans les composants en verre ou en céramique";"";"content_files\eurlex\eurlex_l\2025_2363.txt";"fr";"""Directive européenne modifiant les exemptions pour l'utilisation du plomb dans les équipements électriques et électroniques conformément à la directive 2011/65/UE.""";"REACH, CMR, Risque chimique";"obligation/Loi";"";"processed";"";"2025-11-25 15:39:37";"2025-11-25 15:39:37"
"2025/2364";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502364&locale=fr";"Actes non législatifs";"";"Directive déléguée (UE) 2025/2364 de la Commission du 8 septembre 2025 modifiant la directive 2011/65/UE du Parlement européen et du Conseil en ce qui concerne une exemption relative au plomb en tant qu’élément d’alliage dans l’acier, l’aluminium et le cuivre";"";"content_files\eurlex\eurlex_l\2025_2364.txt";"fr";"";"";"";"";"pending";"";"2025-11-21 16:34:08";""
"2025/2353";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502353&locale=fr";"Actes non législatifs";"";"Décision (PESC) 2025/2353 du Conseil du 20 novembre 2025 modifiant la décision (PESC) 2022/1093 relative à une mesure d’assistance au titre de la facilité européenne pour la paix afin de soutenir les forces armées de la République de Moldavie";"";"content_files\eurlex\eurlex_l\2025_2353.txt";"fr";"";"";"";"";"pending";"";"2025-11-21 16:34:08";""
"2025/2354";"EURLEX";"2025-11-21";"https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=OJ:L_202502354&locale=fr";"Actes non législatifs";"";"Décision (PESC) 2025/2354 du Conseil du 20 novembre 2025 à l’appui du renforcement des activités des missions de l’Organisation pour l’interdiction des armes chimiques (OIAC) liées à la Syrie et à l’Ukraine et du renforcement de l’efficacité opérationnelle de l’OIAC au moyen d’images satellite";"";"content_files\eurlex\eurlex_l\2025_2354.txt";"fr";"";"";"";"";"pending";"";"2025-11-21 16:34:08";""
